id,project,file,function,func_body,has_mechanism,mechanism_found,notes
79,magenta,magenta/magenta/models/svg_vae/svg_decoder_loss.py,real_svg_top,"def real_svg_top(body_output, unused_targets, model_hparams, unused_vocab_size,
                 hard=False):
  """"""Applies the Mixture Density Network on top of the LSTM outputs.

  Args:
    body_output: outputs from LSTM with shape [batch, seqlen, 1, hidden_size]
    unused_targets: what the ground truth SVG outputted should be (unused).
    model_hparams: hyper-parameters, should include num_mixture,
      mix_temperature, and gauss_temperature.
    unused_vocab_size: unused
    hard: whether to force predict mode functionality, or return all MDN
      components

  Returns:
    The MDN output. Could be shape [batch, seqlen, 1, 10] if in predict mode
      (or hard=True) or shape [batch, seqlen, 1, 4 + 6 * num_mix * 3], in train.
  """"""
  # mixture of gaussians for 6 args plus 4 extra states for cmds
  num_mix = model_hparams.num_mixture
  nout = 4 + 6 * num_mix * 3

  # the 'hard' option is meant to be used if 'top' is called within body
  with tf.variable_scope('real_top', reuse=tf.AUTO_REUSE):
    ret = tf.layers.dense(body_output, nout, name='top')
    batch_size = common_layers.shape_list(ret)[0]

    if hard or model_hparams.mode == tf_estimator.ModeKeys.PREDICT:
      temperature = model_hparams.mix_temperature

      # apply temperature, do softmax
      command = tf.identity(ret[:, :, :, :4]) / temperature
      command = tf.exp(command -
                       tf.reduce_max(command, axis=[-1], keepdims=True))
      command = command / tf.reduce_sum(command, axis=[-1], keepdims=True)

      # sample from the given probs, this is the same as get_pi_idx,
      # and already returns not soft prob
      command = tf.distributions.Categorical(probs=command).sample()
      # this is now [batch, seq, 1], need to make it one_hot
      command = tf.one_hot(command, 4)

      arguments = ret[:, :, :, 4:]
      # args are [batch, seq, 1, 6*3*num_mix]. want [batch * seq * 6, 3*num_mix]
      arguments = tf.reshape(arguments, [-1, 3 * num_mix])

      out_logmix, out_mean, out_logstd = _get_mdn_coef(arguments)
      # these are [batch*seq*6, num_mix]

      # apply temp to logmix
      out_logmix = tf.identity(out_logmix) / temperature
      out_logmix = tf.exp(out_logmix -
                          tf.reduce_max(out_logmix, axis=[-1], keepdims=True))
      out_logmix = out_logmix / tf.reduce_sum(
          out_logmix, axis=[-1], keepdims=True)
      # get_pi_idx
      out_logmix = tf.distributions.Categorical(probs=out_logmix).sample()
      # should now be [batch*seq*6, 1]
      out_logmix = tf.cast(out_logmix, tf.int32)
      out_logmix = tf.reshape(out_logmix, [-1])
      # prepare for gather
      out_logmix = tf.stack(
          [tf.range(tf.size(out_logmix)), out_logmix], axis=-1)

      chosen_mean = tf.gather_nd(out_mean, out_logmix)
      chosen_logstd = tf.gather_nd(out_logstd, out_logmix)

      # sample!!
      rand_gaussian = (tf.random.normal(tf.shape(chosen_mean)) *
                       tf.sqrt(model_hparams.gauss_temperature))
      arguments = chosen_mean + tf.exp(chosen_logstd) * rand_gaussian
      arguments = tf.reshape(arguments, [batch_size, -1, 1, 6])

      # concat with the command we picked!
      ret = tf.concat([command, arguments], axis=-1)

  return ret",N,,
80,ocrmypdf,ocrmypdf/tests/test_acroform.py,digitally_signed,"def digitally_signed(acroform, outdir):
    out = outdir / 'acroform_signed.pdf'
    with pikepdf.open(acroform) as pdf:
        pdf.Root.AcroForm.SigFlags = 3
        pdf.save(out)
    yield out",N,,
81,plotly.py,plotly.py/packages/python/plotly/plotly/graph_objs/sunburst/hoverlabel/_font.py,colorsrc,"def colorsrc(self, val):
        self[""colorsrc""] = val",N,,
82,jax,jax/jax/experimental/sparse/csr.py,_csr_matmat_impl,"def _csr_matmat_impl(data, indices, indptr, B, *, shape, transpose):
  return _coo_matmat(data, *_csr_to_coo(indices, indptr), B, spinfo=COOInfo(shape=shape), transpose=transpose)",N,,
83,gixy,gixy/gixy/core/regexp.py,can_contain,"def can_contain(self, char, skip_literal=True):
        return char in self.char_list",N,,
84,unilm,unilm/beit2/semantic_segmentation/backbone/beit.py,forward,"def forward(self, x):
        x = self.forward_features(x)
        return x",N,,
85,apprise,apprise/apprise/plugins/NotifyMSTeams.py,url,"def url(self, privacy=False, *args, **kwargs):
        """"""
        Returns the URL built dynamically based on specified arguments.
        """"""

        # Define any URL parameters
        params = {
            'image': 'yes' if self.include_image else 'no',
        }

        if self.version != self.template_args['version']['default']:
            params['version'] = str(self.version)

        if self.template:
            params['template'] = NotifyMSTeams.quote(
                self.template[0].url(), safe='')

        # Extend our parameters
        params.update(self.url_parameters(privacy=privacy, *args, **kwargs))
        # Store any template entries if specified
        params.update({':{}'.format(k): v for k, v in self.tokens.items()})

        if self.version > 1:
            return '{schema}://{team}/{token_a}/{token_b}/{token_c}/'\
                '?{params}'.format(
                    schema=self.secure_protocol,
                    team=NotifyMSTeams.quote(self.team, safe=''),
                    token_a=self.pprint(self.token_a, privacy, safe=''),
                    token_b=self.pprint(self.token_b, privacy, safe=''),
                    token_c=self.pprint(self.token_c, privacy, safe=''),
                    params=NotifyMSTeams.urlencode(params),
                )

        else:  # Version 1
            return '{schema}://{token_a}/{token_b}/{token_c}/'\
                '?{params}'.format(
                    schema=self.secure_protocol,
                    token_a=self.pprint(self.token_a, privacy, safe='@'),
                    token_b=self.pprint(self.token_b, privacy, safe=''),
                    token_c=self.pprint(self.token_c, privacy, safe=''),
                    params=NotifyMSTeams.urlencode(params),
                )",N,,
86,pyinstaller,pyinstaller/bootloader/waflib/ConfigSet.py,__str__,"def __str__(self):
        return ""\n"".join([""%r %r"" % (x, self.__getitem__(x)) for x in self.keys()])",N,,
87,fail2ban,fail2ban/fail2ban/server/server.py,setMaxMatches,"def setMaxMatches(self, name, value):
		self.__jails[name].filter.failManager.maxMatches = value",N,,
88,archivebox,archivebox/deb_dist/archivebox-0.5.4/.pybuild/cpython3_3.8_archivebox/build/archivebox/vendor/django-taggit/tests/tests.py,test_with_case_insensitive_option,"def test_with_case_insensitive_option(self):
        spain = self.tag_model.objects.create(name=""Spain"", slug=""spain"")
        orange = self.food_model.objects.create(name=""orange"")
        orange.tags.add(""spain"")
        self.assertEqual(list(orange.tags.all()), [spain])",N,,
89,modin,modin/modin/pandas/resample.py,sem,"def sem(self, *args, **kwargs):
        return self._dataframe.__constructor__(
            query_compiler=self._query_compiler.resample_sem(
                self.resample_kwargs,
                *args,
                **kwargs,
            )
        )",N,,
90,ray,ray/python/ray/tests/test_actor_failures.py,test_failure_during_dependency_resolution,"def test_failure_during_dependency_resolution(ray_start_regular):
    @ray.remote
    class Actor:
        def dep(self):
            while True:
                time.sleep(1)

        def foo(self, x):
            return x

    @ray.remote
    def foo():
        time.sleep(3)
        return 1

    a = Actor.remote()
    # Check that the actor is alive.
    ray.get(a.foo.remote(1))

    ray.kill(a, no_restart=False)
    dep = a.dep.remote()
    ref = a.foo.remote(dep)
    with pytest.raises(ray.exceptions.RayActorError):
        ray.get(ref)",N,,
91,nni,nni/test/algo/nas/oneshot/test_proxyless.py,test_proxyless_bp,"def test_proxyless_bp():
    op = ProxylessMixedLayer(
        {name: value(3, 3, 1) for name, value in OPS_WITH_STRIDE.items()},
        nn.Parameter(torch.randn(len(OPS_WITH_STRIDE))),
        nn.Softmax(-1), 'proxyless'
    )

    optimizer = torch.optim.SGD(op.arch_parameters(), 0.1)

    for _ in range(10):
        x = torch.randn(1, 3, 9, 9).requires_grad_()
        assert op.resample({})['proxyless'] in OPS_WITH_STRIDE
        y = op(x).sum()
        optimizer.zero_grad()
        y.backward()
        assert op._arch_alpha.grad.abs().sum().item() != 0

    assert op.export({})['proxyless'] in OPS_WITH_STRIDE",N,,
92,transformers,transformers/src/transformers/models/big_bird/tokenization_big_bird.py,__getstate__,"def __getstate__(self):
        state = self.__dict__.copy()
        state[""sp_model""] = None
        return state",N,,
93,readthedocs.org,readthedocs.org/readthedocs/vcs_support/backends/hg.py,parse_branches,"def parse_branches(self, data):
        """"""
        Parses output of `hg branches --quiet`.

        Example:

            default
            0.2
            0.1

        Into VCSVersion objects with branch name as verbose_name and
        identifier.
        """"""
        names = [name.lstrip() for name in data.splitlines()]
        return [VCSVersion(self, name, name) for name in names if name]",N,,
94,calibre,calibre/src/calibre/gui2/preferences/template_functions.py,st_clear_button_clicked,"def st_clear_button_clicked(self):
        self.st_build_function_names_box()
        self.te_textbox.clear()
        self.template_editor.new_doc.clear()
        self.st_create_button.setEnabled(False)
        self.st_delete_button.setEnabled(False)",N,,
95,calibre,calibre/src/calibre/ebooks/docx/block_styles.py,__init__,"def __init__(self, namespace, pPr=None):
        self.namespace = namespace
        self.linked_style = None
        if pPr is None:
            for p in self.all_properties:
                setattr(self, p, inherit)
        else:
            for p in (
                'adjustRightInd', 'autoSpaceDE', 'autoSpaceDN', 'bidi',
                'contextualSpacing', 'keepLines', 'keepNext', 'mirrorIndents',
                'pageBreakBefore', 'snapToGrid', 'suppressLineNumbers',
                'suppressOverlap', 'topLinePunct', 'widowControl', 'wordWrap',
            ):
                setattr(self, p, binary_property(pPr, p, namespace.XPath, namespace.get))

            for x in ('border', 'indent', 'justification', 'spacing', 'shd', 'numbering', 'frame'):
                f = read_funcs[x]
                f(pPr, self, namespace.XPath, namespace.get)

            for s in namespace.XPath('./w:pStyle[@w:val]')(pPr):
                self.linked_style = namespace.get(s, 'w:val')

            self.font_family = self.font_size = self.color = self.cs_font_size = self.cs_font_family = inherit

        self._css = None
        self._border_key = None",N,,
96,great_expectations,great_expectations/great_expectations/render/components.py,__init__,"def __init__(
        self, content_blocks, styling=None, content_block_type=""content_block_container""
    ) -> None:
        super().__init__(content_block_type=content_block_type, styling=styling)
        self.content_blocks = content_blocks",N,,
97,openpilot,openpilot/selfdrive/car/honda/hondacan.py,create_acc_commands,"def create_acc_commands(packer, enabled, active, accel, gas, stopping_counter, car_fingerprint):
  commands = []
  bus = get_pt_bus(car_fingerprint)
  min_gas_accel = CarControllerParams.BOSCH_GAS_LOOKUP_BP[0]

  control_on = 5 if enabled else 0
  gas_command = gas if active and accel > min_gas_accel else -30000
  accel_command = accel if active else 0
  braking = 1 if active and accel < min_gas_accel else 0
  standstill = 1 if active and stopping_counter > 0 else 0
  standstill_release = 1 if active and stopping_counter == 0 else 0

  # common ACC_CONTROL values
  acc_control_values = {
    'ACCEL_COMMAND': accel_command,
    'STANDSTILL': standstill,
  }

  if car_fingerprint in HONDA_BOSCH_RADARLESS:
    acc_control_values.update({
      ""CONTROL_ON"": enabled,
      ""IDLESTOP_ALLOW"": stopping_counter > 200,  # allow idle stop after 4 seconds (50 Hz)
    })
  else:
    acc_control_values.update({
      # setting CONTROL_ON causes car to set POWERTRAIN_DATA->ACC_STATUS = 1
      ""CONTROL_ON"": control_on,
      ""GAS_COMMAND"": gas_command,  # used for gas
      ""BRAKE_LIGHTS"": braking,
      ""BRAKE_REQUEST"": braking,
      ""STANDSTILL_RELEASE"": standstill_release,
    })
    acc_control_on_values = {
      ""SET_TO_3"": 0x03,
      ""CONTROL_ON"": enabled,
      ""SET_TO_FF"": 0xff,
      ""SET_TO_75"": 0x75,
      ""SET_TO_30"": 0x30,
    }
    commands.append(packer.make_can_msg(""ACC_CONTROL_ON"", bus, acc_control_on_values))

  commands.append(packer.make_can_msg(""ACC_CONTROL"", bus, acc_control_values))
  return commands",N,,
98,openbbterminal,openbbterminal/tests/openbb_terminal/test_keys_controller.py,test_call_bitquery,"def test_call_bitquery(other):
    controller.call_bitquery(other)",N,,
99,wagtail,wagtail/wagtail/admin/compare.py,get_item_display,"def get_item_display(self, item):
        return str(item)",N,,
100,lbry-sdk,lbry-sdk/lbry/dht/protocol/iterative_find.py,search_exhausted,"def search_exhausted(self):
        """"""
        This method ends the iterator due no more peers to contact.
        Override to provide last time results.
        """"""
        self.iteration_queue.put_nowait(None)",N,,
101,django-rest-framework,django-rest-framework/tests/test_generics.py,test_retrieve_destroy_api_view_delete,"def test_retrieve_destroy_api_view_delete(self):
        class MockRetrieveDestroyUApiView(generics.RetrieveDestroyAPIView):
            def destroy(self, request, *args, **kwargs):
                self.called = True
                self.call_args = (request, args, kwargs)
        view = MockRetrieveDestroyUApiView()
        data = ('test request', ('test arg',), {'test_kwarg': 'test'})
        view.delete('test request', 'test arg', test_kwarg='test')
        assert view.called is True
        assert view.call_args == data",N,,
102,trax,trax/trax/models/rl.py,Value,"def Value(
    body=None,
    normalizer=None,
    inject_actions=False,
    inject_actions_n_layers=1,
    inject_actions_dim=64,
    batch_axes=None,
    mode='train',
    is_discrete=False,
    vocab_size=2,
    multiplicative_action_injection=False,
    head_init_range=None,
):
  """"""Attaches a value head to a model body.""""""
  if body is None:
    body = lambda mode: []
  if normalizer is None:
    normalizer = lambda mode: []

  def ActionInjector(mode):
    if inject_actions:
      if is_discrete:
        action_encoder = tl.Embedding(vocab_size, inject_actions_dim)
      else:
        action_encoder = tl.Dense(inject_actions_dim)
      encoders = tl.Parallel(
          tl.Dense(inject_actions_dim),
          action_encoder,
      )
      if multiplicative_action_injection:
        action_injector = tl.Serial(
            tl.Fn('TanhMulGate', lambda x, a: x * jnp.tanh(a)),
            tl.LayerNorm()  # compensate for reduced variance
        )
      else:
        action_injector = tl.Add()
      return tl.Serial(
          # Input: (body output, actions).
          encoders,
          action_injector,
          models.MLP(
              layer_widths=(inject_actions_dim,) * inject_actions_n_layers,
              out_activation=True,
              flatten=False,
              mode=mode,
          )
      )
    else:
      return []

  head_kwargs = {}
  if head_init_range is not None:
    head_kwargs['kernel_initializer'] = tl.RandomUniformInitializer(
        lim=head_init_range
    )

  return tl.Serial(
      _Batch(normalizer(mode=mode), batch_axes),
      _Batch(body(mode=mode), batch_axes),
      ActionInjector(mode=mode),
      tl.Dense(1, **head_kwargs),
  )",N,,
103,tvm,tvm/python/tvm/testing/utils.py,_run_expr,"def _run_expr(expr, vranges):
        """"""Evaluate expr for every value of free variables
        given by vranges and return the tensor of results.
        """"""

        def _compute_body(*us):
            vmap = {v: u + r.min for (v, r), u in zip(vranges.items(), us)}
            return tvm.tir.stmt_functor.substitute(expr, vmap)

        A = tvm.te.compute([r.extent.value for v, r in vranges.items()], _compute_body)
        args = [tvm.nd.empty(A.shape, A.dtype)]
        sch = tvm.te.create_schedule(A.op)
        mod = tvm.build(sch, [A])
        mod(*args)
        return args[0].numpy()",N,,
104,altair,altair/altair/vegalite/v5/schema/channels.py,stack,"def stack(self, _: None, **kwds) -> 'RadiusDatum':
        ...",N,,
105,pillow,pillow/Tests/test_image_reduce.py,test_mode_RGB,"def test_mode_RGB(factor):
    im = get_image(""RGB"")
    compare_reduce_with_reference(im, factor)
    compare_reduce_with_box(im, factor)",N,,
106,tvm,tvm/tests/python/frontend/tensorflow/test_forward.py,_verify_infiniteness_ops,"def _verify_infiniteness_ops(tf_op, name):
    """"""test operator infinity ops""""""

    # Only float types are allowed in Tensorflow for isfinite and isinf
    # float16 is failing on cuda
    tf_dtypes = [""float32"", ""float64""]  # pylint: disable=redefined-outer-name
    for tf_dtype in tf_dtypes:
        shape = (8, 8)
        data = np.random.uniform(size=shape).astype(tf_dtype)
        data.ravel()[np.random.choice(data.size, int(data.size * 0.5), replace=False)] = np.infty
        data.ravel()[np.random.choice(data.size, int(data.size * 0.5), replace=False)] = np.nan

        tf.reset_default_graph()
        in_data = tf.placeholder(tf_dtype, shape, name=""in_data"")
        tf_op(in_data, name=name)
        compare_tf_with_tvm([data], [""in_data:0""], f""{name}:0"")",N,,
107,scikit-learn,scikit-learn/build_tools/update_environments_and_lock_files.py,get_pip_requirements_content,"def get_pip_requirements_content(build_metadata):
    template = environment.from_string(""""""
# DO NOT EDIT: this file is generated from the specification found in the
# following script to centralize the configuration for CI builds:
# build_tools/update_environments_and_lock_files.py
{% for pip_dep in build_metadata['pip_dependencies'] %}
{{ pip_dep | get_package_with_constraint(build_metadata, uses_pip=True) }}
{% endfor %}"""""".strip())
    return template.render(build_metadata=build_metadata)",N,,
108,everydaywechat,everydaywechat/tests/test_alarm/test_info.py,test_all_info,"def test_all_info(self):
        """"""
        测试获取提醒的所有信息。
        :return:
        """"""
        girlfriend_infos = config.get('alarm_info').get('girlfriend_infos')
        for gf in girlfriend_infos:
            is_tomorrow = gf.get('is_tomorrow', False)
            calendar_info = get_calendar_info(gf.get('calendar'), is_tomorrow)
            weather = get_weather_info(gf.get('city_name'), is_tomorrow)
            horoscope = get_constellation_info(gf.get(""horescope""), is_tomorrow)
            dictum = get_dictum_info(gf.get('dictum_channel'))
            diff_time = get_diff_time(gf.get('start_date'), gf.get('start_date_msg'))
            air_quality = get_air_quality(gf.get('air_quality_city'))

            sweet_words = gf.get('sweet_words')
            send_msg = '\n'.join(
                x for x in [calendar_info, weather, air_quality, horoscope, dictum, diff_time, sweet_words] if x)
            print(send_msg)
            print('\n' + '-' * 50 + '\n')",N,,
109,keras,keras/keras/mixed_precision/autocast_variable.py,_shared_name,"def _shared_name(self):
        return self._variable._shared_name",N,,
110,numba,numba/numba/parfors/array_analysis.py,_determine_transform,"def _determine_transform(self, cfg, block, label, scope, init_equiv_set):
        """"""Determine the transformation for each instruction in the block
        """"""
        equiv_set = None
        # equiv_set is the intersection of predecessors
        preds = cfg.predecessors(label)
        # some incoming edge may be pruned due to prior analysis
        if label in self.pruned_predecessors:
            pruned = self.pruned_predecessors[label]
        else:
            pruned = []
        # Go through each incoming edge, process prepended instructions and
        # calculate beginning equiv_set of current block as an intersection
        # of incoming ones.
        if config.DEBUG_ARRAY_OPT >= 2:
            print(""preds:"", preds)
        for (p, q) in preds:
            if config.DEBUG_ARRAY_OPT >= 2:
                print(""p, q:"", p, q)
            if p in pruned:
                continue
            if p in self.equiv_sets:
                from_set = self.equiv_sets[p].clone()
                if config.DEBUG_ARRAY_OPT >= 2:
                    print(""p in equiv_sets"", from_set)
                if (p, label) in self.prepends:
                    instrs = self.prepends[(p, label)]
                    for inst in instrs:
                        redefined = set()
                        self._analyze_inst(
                            label, scope, from_set, inst, redefined
                        )
                        # Remove anything multiply defined in this block
                        # from every block equivs.
                        # NOTE: necessary? can't observe effect in testsuite
                        self.remove_redefineds(redefined)
                if equiv_set is None:
                    equiv_set = from_set
                else:
                    equiv_set = equiv_set.intersect(from_set)
                    redefined = set()
                    equiv_set.union_defs(from_set.defs, redefined)
                    # Remove anything multiply defined in this block
                    # from every block equivs.
                    # NOTE: necessary? can't observe effect in testsuite
                    self.remove_redefineds(redefined)

        # Start with a new equiv_set if none is computed
        if equiv_set is None:
            equiv_set = init_equiv_set
        self.equiv_sets[label] = equiv_set

        # Go through instructions in a block, and insert pre/post
        # instructions as we analyze them.
        pending_transforms = []
        for inst in block.body:
            redefined = set()
            pre, post = self._analyze_inst(
                label, scope, equiv_set, inst, redefined
            )
            # Remove anything multiply defined in this block from every block
            # equivs.
            if len(redefined) > 0:
                self.remove_redefineds(redefined)

            pending_transforms.append((inst, pre, post))
        return pending_transforms",N,,
111,chalice,chalice/tests/functional/test_package.py,test_can_get_py27_whls,"def test_can_get_py27_whls(self, tmpdir, osutils, pip_runner):
        reqs = ['foo', 'bar', 'baz']
        pip, runner = pip_runner
        appdir, builder = self._make_appdir_and_dependency_builder(
            reqs, tmpdir, runner)
        requirements_file = os.path.join(appdir, 'requirements.txt')
        pip.packages_to_download(
            expected_args=['-r', requirements_file, '--dest', mock.ANY],
            packages=[
                'foo-1.0-cp27-none-any.whl',
                'bar-1.2-cp27-none-manylinux1_x86_64.whl',
                'baz-1.5-cp27-cp27mu-linux_x86_64.whl'
            ]
        )

        site_packages = os.path.join(appdir, '.chalice.', 'site-packages')
        builder.build_site_packages('cp27mu', requirements_file, site_packages)
        installed_packages = os.listdir(site_packages)

        pip.validate()
        for req in reqs:
            assert req in installed_packages",N,,
112,unilm,unilm/kosmos-2/fairseq/fairseq/data/subsample_dataset.py,sizes,"def sizes(self):
        return self.dataset.sizes[self.indices]",N,,
113,avatarify,avatarify/afy/predictor_local.py,to_tensor,"def to_tensor(a):
    return torch.tensor(a[np.newaxis].astype(np.float32)).permute(0, 3, 1, 2) / 255",N,,
114,pysyft,pysyft/packages/syft/src/syft/store/blob_storage/on_disk.py,read,"def read(self, fp: SecureFilePathLocation, type_: Optional[Type]) -> BlobRetrieval:
        file_path = self._base_directory / fp.path
        return SyftObjectRetrieval(
            syft_object=file_path.read_bytes(),
            file_name=file_path.name,
            type_=type_,
        )",N,,
115,wagtail,wagtail/wagtail/admin/ui/tables/__init__.py,__init__,"def __init__(self, name, true_label=None, false_label=None, **kwargs):
        super().__init__(name, **kwargs)
        self.true_label = true_label
        self.false_label = false_label",N,,
116,urh,urh/src/urh/controller/widgets/SignalFrame.py,on_slider_spectrogram_min_value_changed,"def on_slider_spectrogram_min_value_changed(self):
        self.spectrogram_update_timer.start()",N,,
117,thumbor,thumbor/tests/fixtures/transformer_test_data.py,to_context,"def to_context(self, detectors=None, ignore_detector_error=False):
        if detectors is None:
            detectors = []
        ThreadPool.reset()
        self.engine = MockEngine((self.source_width, self.source_height))

        flip_horizontally = flip_vertically = False

        if self.target_width != ""orig"":
            flip_horizontally = self.target_width < 0
            self.target_width = abs(self.target_width)

        if self.target_height != ""orig"":
            flip_vertically = self.target_height < 0
            self.target_height = abs(self.target_height)

        importer = Importer(None)
        importer.detectors = detectors
        importer.storage = NoStorage
        config = Config()
        config.IGNORE_SMART_ERRORS = ignore_detector_error
        ctx = Context(server=None, config=config, importer=importer)
        ctx.modules.engine = self.engine

        ctx.request = RequestParameters(
            buffer=None,
            debug=False,
            meta=self.meta,
            crop={
                ""left"": self.crop_left,
                ""top"": self.crop_top,
                ""right"": self.crop_right,
                ""bottom"": self.crop_bottom,
            },
            adaptive=self.adaptive,
            full=self.full,
            fit_in=self.fit_in,
            horizontal_flip=flip_horizontally,
            vertical_flip=flip_vertically,
            width=self.target_width,
            height=self.target_height,
            halign=self.halign,
            valign=self.valign,
            focal_points=self.focal_points,
            smart=True,
            extension=""JPEG"",
            filters=[],
            quality=80,
            image=""some.jpeg"",
            stretch=self.stretch,
        )
        ctx.request.engine = self.engine
        ctx.request.engine.extension = "".jpeg""

        return ctx",N,,
118,gradio,gradio/demo/diffusers_with_batching/run.py,generate,"def generate(prompts):
  images = generator(list(prompts)).images
  return [images]",N,,
119,readthedocs.org,readthedocs.org/readthedocs/rtd_tests/tests/test_privacy_urls.py,login,"def login(self):
        return self.client.login(username=""owner"", password=""test"")",N,,
120,pupy,pupy/pupy/modules/shell_exec.py,init_argparse,"def init_argparse(cls):
        cls.arg_parser = PupyArgumentParser(prog='shell_exec', description=cls.__doc__)
        cls.arg_parser.add_argument('-X', '--no-shell', action='store_true', help='Do not execute command in shell')
        cls.arg_parser.add_argument('-S', '--set-uid', help='Set UID for user (posix only)')
        cls.arg_parser.add_argument('-H', '--hide', action='store_true', help='Launch process on background '
                                                                              '(only for windows)')
        cls.arg_parser.add_argument('-c', '--codepage', default=None, help='decode using codepage')
        cls.arg_parser.add_argument(
            'argument',
            nargs=REMAINDER,
            help='shell command')",N,,
121,wagtail,wagtail/wagtail/contrib/forms/tests/test_views.py,setUp,"def setUp(self):
        self.request = RequestFactory().get(""/"")
        user = AnonymousUser()  # technically, Anonymous users cannot access the admin
        self.request.user = user

        # Create a form page
        self.form_page = make_form_page_with_custom_submission()

        self.FormPageForm = get_form_for_model(
            FormPageWithCustomSubmission,
            form_class=WagtailAdminPageForm,
            fields=[""title"", ""slug"", ""to_address"", ""from_address"", ""subject""],
        )

        self.test_user = self.create_user(username=""user-n1kola"", password=""123"")

        panel = FormSubmissionsPanel().bind_to_model(FormPageWithCustomSubmission)
        self.panel = panel.get_bound_panel(
            instance=self.form_page, form=self.FormPageForm(), request=self.request
        )",N,,
122,django,django/django/db/backends/sqlite3/_functions.py,_sqlite_log,"def _sqlite_log(base, x):
    if base is None or x is None:
        return None
    # Arguments reversed to match SQL standard.
    return log(x, base)",N,,
123,pysyft,pysyft/packages/syft/tests/syft/uid_test.py,test_uid_proto_deserialization,"def test_uid_proto_deserialization() -> None:
    """"""Tests that proto UID deserialization works as expected""""""

    uid = UID(value=uuid.UUID(int=333779996850170035686993356951732753684))
    blob = _serialize(obj=uid)

    obj = sy.deserialize(blob=blob, from_proto=True)
    assert obj == UID(value=uuid.UUID(int=333779996850170035686993356951732753684))",N,,
124,unilm,unilm/kosmos-g/torchscale/torchscale/architecture/encoder.py,forward,"def forward(self, x, encoder_padding_mask, attn_mask=None, rel_pos=None, scale=1.0):
        if attn_mask is not None:
            attn_mask = attn_mask.masked_fill(attn_mask.to(torch.bool), -1e8)

        residual = x
        if self.normalize_before:
            x = self.self_attn_layer_norm(x)
        x, _ = self.self_attn(
            query=x,
            key=x,
            value=x,
            key_padding_mask=encoder_padding_mask,
            attn_mask=attn_mask,
            rel_pos=rel_pos,
            scale=scale,
        )
        x = self.dropout_module(x)

        if self.drop_path is not None:
            x = self.drop_path(x)

        x = self.residual_connection(x, residual)
        if not self.normalize_before:
            x = self.self_attn_layer_norm(x)

        residual = x
        if self.normalize_before:
            x = self.final_layer_norm(x)
        if not self.is_moe_layer:
            x = self.ffn(x)
            l_aux = None
        else:
            x = x.transpose(0, 1)
            x, l_aux = self.moe_layer(x)
            x = x.transpose(0, 1)

        if self.drop_path is not None:
            x = self.drop_path(x)

        x = self.residual_connection(x, residual)
        if not self.normalize_before:
            x = self.final_layer_norm(x)
        return x, l_aux",N,,
125,ajenti,ajenti/plugins/terminal/views.py,__init__,"def __init__(self, context):
        self.context = context
        self.mgr = TerminalManager.get(self.context)",N,,
126,ansible,ansible/hacking/build_library/build_ansible/command_plugins/collection_meta.py,main,"def main(args):
        output_dir = os.path.abspath(args.output_dir)
        template_file_full_path = os.path.abspath(os.path.join(args.template_dir, args.template_file))
        template_file = os.path.basename(template_file_full_path)
        template_dir = os.path.dirname(template_file_full_path)

        with open(args.collection_defs) as f:
            options = yaml.safe_load(f)

        normalize_options(options)

        env = doc_environment(template_dir)

        template = env.get_template(template_file)
        output_name = os.path.join(output_dir, template_file.replace('.j2', ''))
        temp_vars = {'options': options}

        data = to_bytes(template.render(temp_vars))
        update_file_if_different(output_name, data)

        return 0",N,,
127,pandas,pandas/asv_bench/benchmarks/frame_methods.py,setup,"def setup(self, downcast):
        N = 10000
        # this is the worst case, where every column has NaNs.
        arr = np.random.randn(N, 100)
        # NB: we need to set values in array, not in df.values, otherwise
        #  the benchmark will be misleading for ArrayManager
        arr[::2] = np.nan

        self.df = DataFrame(arr)

        self.df2 = DataFrame(
            {
                ""A"": np.arange(0, N),
                ""B"": np.random.randint(0, 100, N),
                ""C"": np.random.randn(N),
                ""D"": np.random.randn(N),
            }
        )
        self.df2.loc[1::5, ""A""] = np.nan
        self.df2.loc[1::5, ""C""] = np.nan",N,,
128,beets,beets/beets/importer.py,already_imported,"def already_imported(self, toppath, paths):
        """"""Returns true if the files belonging to this task have already
        been imported in a previous session.
        """"""
        if self.is_resuming(toppath) and all(
            [progress_element(toppath, p) for p in paths]
        ):
            return True
        if self.config[""incremental""] and tuple(paths) in self.history_dirs:
            return True

        return False",N,,
129,pandas,pandas/pandas/tests/frame/methods/test_clip.py,test_clip_against_list_like,"def test_clip_against_list_like(self, simple_frame, inplace, lower, axis, res):
        # GH#15390
        original = simple_frame.copy(deep=True)

        result = original.clip(lower=lower, upper=[5, 6, 7], axis=axis, inplace=inplace)

        expected = DataFrame(res, columns=original.columns, index=original.index)
        if inplace:
            result = original
        tm.assert_frame_equal(result, expected, check_exact=True)",N,,
130,magenta,magenta/magenta/models/gansynth/lib/data_normalizer.py,__init__,"def __init__(self, config):
    super(SpecgramsFreqNormalizer, self).__init__(
        config, 'specgrams_freq_normalizer.npz')",N,,
